vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
Khodjavand;000015;9284104;;4JLZ;Баку  ;;KM(*) L3[1] R1 AUT1 oil tanker(ESP);;;;;5004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19612А;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2000-02-11;2003-05-08;2003-08-26;;;РМРС;;423103100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Анабар;000023;9194012;;UBCW;Санкт-Петербург  ;;KM(*) Arc5 (at d <= 9,0 m) Arc4 (at d <= 9,8 m) [1] AUT1 oil tanker(ESP);;;;;02734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20071;;;;;;;;;;;;;;;;;;;;;;;ФГУП «Адмиралтейские верфи»; Санкт-Петербург;;;2000-08-25;2002-05-23;2002-10-09;;;РМРС;;273435910; Эксплуатируется ;;;;;;;;;;Fleetphoto
Кормчий;000053;8972027;;UDHE;Петропавловск-Камчатский  ;;КМ(*) Л4 I рыболовное;;;;;318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1328, тип Балтика;;;;;;;;;;;;;;;;;;;;;;;Сретенский судостроительный завод; Сретенск;;;;;2001-12-20;;;РМРС;П-0841;; Не эксплуатируется ;;;;;;;;;;Fleetphoto
Валерий Маслаков;000104;9231391;;UEAG;Петропавловск-Камчатский  ;;KM(*) L3 AUT3 fishing vessel;;;;;01521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70126, тип Валерий Маслаков;;;;;;;;;;;;;;;;;;;;;;;"ФГУП ""Дальневосточный завод ""Звезда"""; Большой Камень;;;;;2003-03-14;;;РМРС;П-1379;273424250; Эксплуатируется ;;;;;;;;;;Fleetphoto
Наплавной Мост На Р.лямин 46км;000111;;;;Омск  ;;Р1,2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ООО «Ханты-Мансийск РемонтФлот»; Ханты-Мансийск;ООО «Ханты-Мансийск РемонтФлот»; Ханты-Мансийск;;;2011-07-11;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект 	ТП 35.10/НМ260;;;;;;;;;Fleetphoto
160км Пр.юганская Обь;000112;;;;Омск  ;;Р1,2;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352(всех модификаций);;;;;;;;;;;;;;;;;;;;;;;ООО «Речной порт Нефтеюганск»;;;;;;2011-10-24;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект 352.870;;;;;;;;;Fleetphoto
Река Обь 1263км;000113;;;;Омск  ;;Р1,2;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Р-56;;;;;;;;;;;;;;;;;;;;;;;ООО «Речной порт Нефтеюганск»;;;;;;2011-12-30;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект Р-56/352.877;;;;;;;;;Fleetphoto
Протока Чебыковская (1267км Р.);000114;;;;Омск  ;;Р1,2;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352(всех модификаций);;;;;;;;;;;;;;;;;;;;;;;ООО «Речной порт Нефтеюганск»;;;;;;2011-12-27;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект Р-56/352.860;;;;;;;;;Fleetphoto
001;001;;;;(Армения)  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КС-820Р;;;;;;;;;;;;;;;;;;;;;;;Костромской судомеханический завод; Кострома;;;;2023-07-10;;;;;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
002;002;;;;(Армения)  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КС-820Р;;;;;;;;;;;;;;;;;;;;;;;Костромской судомеханический завод; Кострома;;;;2023-07-10;;;;;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Zolotoy Telenok;006402;;;UUAP9;Киев  ;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82440;;;;;;;;;;;;;;;;;;;;;;;ОАО «Сокольская судоверфь»; Сокольское;;;;;2005-07-01;;;РСУ;;272108900; Эксплуатируется ;Проект: 82440/04/08-824403Т.;;;;;;;;;Fleetphoto
Нiбулон Експрес-2;009818;;;UXDH;Николаев  ;;КМ+В1 СПК (пасажирське);;;;;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03521;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Феодосийская судостроительная компания ""Море""»"; Феодосия;;;;;2002-08-12;;;РСУ;;272154900; Эксплуатируется ;;;;;;;;;;Fleetphoto
Нiбулон Експрес-1;009879;;;UXDG;Николаев  ;;КМ+В1 СПК (пасажирське);;;;;604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03521;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Феодосийская судостроительная компания ""Море""»"; Феодосия;;;;;2002-01-01;;;РСУ;;272154800; Эксплуатируется ;;;;;;;;;;Fleetphoto
