Название судна;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Материал корпуса;Тип судна;Дата закладки киля;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество и мощность ГЭД;Количество и тип движителя;Количество лопастей;Количество и мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Количество и кубатура грузовых трюмов;Охлаждаемые грузовые помещения;Наливные танки;Количество и тип контейнеров;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей
2033;876085;;;;Большой порт Санкт-Петербург;Россия;K* R2-RSN;;Сталь;Генгруз/Баржа;30.04.1987;29.10.1987;Украина;6032;;;1197 MK-1969;359 MK-1969;2190.000 т.;2840 т.;85.70 м.;85.70 м.;83.00 м.;17.50 м.;3.30 м.;2.25 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;1.0;16.0;0.0;0.0;0.0;;;;0;;1531 m3;;360;Обыкновенная;28.0
2034;886530;;;;Большой порт Санкт-Петербург;Россия;K* R2-RSN Pontoon;;;Баржа;01.05.1988;30.08.1988;Украина;6040;;;1197 MK-1969;359 MK-1969;2190.000 т.;2840 т.;85.80 м.;85.80 м.;83.00 м.;17.50 м.;3.30 м.;2.25 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;1.0;16.0;0.0;0.0;0.0;;;;0;;1531 m3;;360;Обыкновенная;34.0
28 MAY;120378;;;;Баку;Азербайджанская Республика;KE(*) Berth-connected ship floating dock;;;Плавдок;01.06.2012;30.04.2014;Азербайджанская Республика;H101;;;21077 MK-1969;6323 MK-1969;20085.000 т.;48474 т.;173.42 м.;173.42 м.;161.62 м.;53.81 м.;17.50 м.;5.70 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;2.0;5.0;0.0;0.0;0.0;;;2*20.0;0;Дизельное;28000 m3;;0;;0.0
50 ЛЕТ ПОБЕДЫ;895826;9152959;;UGYU;Мурманск;Россия;KM(*) LL1 [2] А;;Сталь;Ледокол;04.10.1989;12.03.2007;Россия;705;;;23439 MK-1969;7032 MK-1969;3505.000 т.;25840 т.;159.60 м.;159.60 м.;139.80 м.;30.00 м.;17.20 м.;11.00 м.;21.0;Атомная;"Год постройки ГД: 1991 Страна постройки: Россия Фирма постройки ГД: ""КИРОВСКИЙ ЗАВОД"", АКЦИОНЕРНОЕ ОБЩЕСТВО Количество и мощность ГД: 2*27600 Марка ГД: ТГГ-27,5 ОМ5";3* 17600;3 - Винт фиксированного шага со съемными лопастями;4;5* 2000 1* 1000 2* 200 6* 9000;Кол-во:2 Тип теплоносителя: Неорганический Тип: АП-Атомный паровой Давление: 32 Площадь поверхности нагрева: Паропроизводительность (т/ч): Кол-во форсунок:;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Аппаратура ОВЧ двусторонней радиотелефонной связи с воздушными судами Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник КВ буквопечатающей аппаратуры (не используется) Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Приемоиндикатор ГНСС с ГЛОНАСС Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Система приема внешних звуковых сигналов Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;;;5.0;9.0;210.0;0.0;0.0;;;2*3.2 3*16.0 2*10.0;500;Ядерное, Дизельное;1760 m3;;2700;Повышенной прочности;81.0
90134;140403;;;UNFO;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90134;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.23 м.;4.50 м.;1.20 м.;0.46 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;0;Дизельное;0 m3;;55;Трос;0.0
90140;140418;;;UNFP;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90140;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.23 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90141;140422;;;UNFQ;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90141;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90142;140437;;;UNFR;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90142;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90143;140441;;;UNFS;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90143;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;0.0;0.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90144;140456;;;UNFT;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90144;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
