Регистровый номер;Строительный номер;IMO;MMSI;Название судна;Проект судна;Назначение судна;Формула класса;Источник данных;Место постройки;Завод постройки;Город постройки;Страна постройки;Порт приписки;Учреждение регистрации;Текущее состояние;Заложено;Дата закладки киля;Дата значительной части;Спущено на воду;Построено;Длина наибольшая теоретическая;Длина расчетная;Длина габаритная;Длина конструктивная;Ширина габаритная;Ширина конструктивная;Валовая вместимость;Чистая вместимость;Дедвейт;Грузоподъемность;Водоизмещение;Осадка;Высота борта;Надводный борт;Скорость;Тип силовой установки;Заводская модель главного двигателя;Запасы топлива;Количество движителей;Тип движителя;Численность экипажа;Спецперсонал;Число пассажиров коечные;Число пассажиров бескоечных;Общее число пассажиров;Количество лопастей;Холодильная установка;Рабочая температура;Хладагенты;Количество охлаждаемых грузовых помещений;Вместимость охлаждаемого грузового помещения;Количество наливных танков;Объём наливного танка;Суммарный объем наливных танков;Количество контейнеров;Тип контейнеров;Количество палуб;Количество переборок продольных;Количество переборок поперечных;Общее количество переборок;Водяной балласт;Подогреватели;Категория якорных цепей;Калибр якорных цепей
103539;1;;;ПРИЧАЛ ПОНТОННОГО ТИПА;030П;Плавучий причал для швартовки судов и проведения грузовых операций с светлыми нефтепродуктами;Л0,6 IV;Речной регистр;Цзямусы КНР;;;;;;;;;;;01.01.2012;;;64.6;0;16;0;523.28;0;0;0.3;0;;1.2;1.04;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;9;;;;;
104863;547;;;МП-622;341А;Несамоходный причал для подхода паромной переправы, стоечное;Р1,2 IV;Речной регистр;Свободный;;;;;;;;;;;01.01.1965;;;64.4;64.4;10.03;10;1107.9;0;0;0;740.3;;2;0.64;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;4;;;;;
104871;67;;;ВЕРАНДА-4;1095;Плавучий причал;Р1,2 IV;Речной регистр;Свободный;;;;;;;;;;;01.01.1965;;;65.9;64.4;10.2;10;1110;0;0;0;137;;2;0.6;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;7;;;;;
10784;12700;;;ВПУ КТК-1;;Плавучий морской одноточечный причал;K* FSPM;Морской регистр;;;;Объединенные Арабские Эмираты;Новороссийск;;;;;;;03/02/2000;16;;16;;;;162;;;;;4.08;2.22;;;Несамоходное;;;;;;;;;;;;;;;;;;;;;;;;;;;Повышенной прочности;95
10799;12710;;;ВПУ КТК-2;;Плавучий морской одноточечный причал;K* FSPM;Морской регистр;;;;Объединенные Арабские Эмираты;Новороссийск;;;;;;;03/02/2000;16;12;16;;;;162;;;;;4.08;2.22;;;Несамоходное;;;;;;;;;;;;;;;;;;;;;;;;;;;Повышенной прочности;95
110475;;;;ДМ-112;344-III;Плавучий объект, дебаркадер пассажирский;Р1,2 IV;Речной регистр;Аркуль, СРЗ памяти Кирова;;;;;;;;;;;01.01.1950;;;25.3;25;8.3;8;376.4;0;4.25;0;42.55;;2;1.75;;;;;;;2;;;;0;;;;;;;0;;0;;;;0;3;;;;;
110629;;;;Дебаркадер № 243;б/п;Дебаркадер грузовой переправы, причал;Р1,2 I;Речной регистр;Германия;;;;;;;;;;;01.01.1950;;;57.15;55.5;8.4;8;1584.8;0;0;0;0;;2.12;1.2;;;;;;;4;;;;0;;;;;;;0;;0;;;;0;7;;;;;
112028;;;;ВПУ КТК-3;;Плавучий морской одноточечный причал;K* FSPM;Морской регистр;;;;Объединенные Арабские Эмираты;Новороссийск;;;;;;;13/12/2012;16;;16;;;;242;;;;;4.47;1.83;;;Несамоходное;;;;;;;;;;;;;;;;;;;;;;;;;;;Повышенной прочности;95
121526;;;;БРП-209;183В;Плавучий объект, причал для отстоя судов;Р1,2 IV;Речной регистр, Fleetphoto;Кононово;Улан-Удэнский ССРЗ; Улан-Удэ;;Красноярск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1970;;;35.33;35;7.54;7.5;384.88;0;200;200;256;;1.3;0.96;;;;;;;0;;;;0;;;;;;;0;;0;;;;3;2;;;;;
121549;;;;06-37/0031;Р-70;Плавучий объект, дебаркадер;О2,0 I;Речной регистр, Fleetphoto;Кононово;Кононовская ремонтно-эксплуатационная база флота ЕРП МРФ РСФСР; Кононово;;Красноярск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1971;;;47.8;45;12.4;12;2000;0;43;20;261;;2.7;2.14;;;;;;;3;;;;0;;;;;;;0;;0;;;;4;4;;;;;
